age,gender,score
12,0,123
14,1,132
13,1,143
15,0,132
16,0,143
17,1,111
15,1,123
18,0,111
20,0,100
25,0,90
24,1,99
26,1,87
23,1,94
22,1,88
27,0,76
30,0,65
29,1,54
12,0,123
14,1,132
13,1,143
15,0,132
16,0,143
17,1,111
15,1,123
18,0,111
20,0,100
25,0,90
24,1,99
26,1,87
23,1,94
22,1,88
27,0,76
30,0,65
29,1,54
12,0,123
14,1,132
13,1,143
15,0,132
16,0,143
17,1,111
15,1,123
18,0,111
20,0,100
25,0,90
24,1,99
26,1,87
23,1,94
22,1,88
27,0,76
30,0,65
29,1,54
12,0,123
14,1,132
13,1,143
15,0,132
16,0,143
17,1,111
15,1,123
18,0,111
20,0,100
25,0,90
24,1,99
26,1,87
23,1,94
22,1,88
27,0,76
30,0,65
29,1,54
12,0,123
14,1,132
13,1,143
15,0,132
16,0,143
17,1,111
15,1,123
18,0,111
20,0,100
25,0,90
24,1,99
26,1,87
23,1,94
22,1,88
27,0,76
30,0,65
29,1,54
12,0,123
14,1,132
13,1,143
15,0,132
16,0,143
17,1,111
15,1,123
18,0,111
20,0,100
25,0,90
24,1,99
26,1,87
23,1,94
22,1,88
27,0,76
30,0,65
29,1,54
12,0,123
14,1,132
13,1,143
15,0,132
16,0,143
17,1,111
15,1,123
18,0,111
20,0,100
25,0,90
24,1,99
26,1,87
23,1,94
22,1,88
27,0,76
30,0,65
29,1,54
12,0,123
14,1,132
13,1,143
15,0,132
16,0,143
17,1,111
15,1,123
18,0,111
20,0,100
25,0,90
24,1,99
26,1,87
23,1,94
22,1,88
27,0,76
30,0,65
29,1,54
